1971159|4260121444||RV|3160058802|19년 부대 A망 시설투자 단가계약2_분결커(납기4주)|179655500|20191114|20190125|20191231|이상신|중부Infra구축팀|00004018||||1003604|20191231|공중선|1000064456|5G 대역결합기|5G 대역결합기,이통3사용 3X1(5G전용)|276|EA|260000|2020-02-03 10:11:58|DEL||2020-02-03 10:11:38
1971149|4260121444||RV|3160058802|19년 부대 A망 시설투자 단가계약2_분결커(납기4주)|179655500|20191114|20190125|20191231|이상신|중부Infra구축팀|00004018||||1003594|20191231|급전선/콘넥터|1000063380|5G 커넥터,7/8" MD-MA(주름)|5G 커넥터,7/8" MD-MA(주름)|40|EA|6500|2020-02-03 10:11:58|DEL||2020-02-03 10:11:38
1971153|4260121444||RV|3160058802|19년 부대 A망 시설투자 단가계약2_분결커(납기4주)|179655500|20191114|20190125|20191231|이상신|중부Infra구축팀|00004018||||1003598|20191231|공중선|1000063394|5G 분배기,(인빌딩) 5G 2N-300W-U(7:3)|5G 분배기,(인빌딩) 5G 2N-300W-U(7:3)|60|EA|32000|2020-02-03 10:11:58|DEL||2020-02-03 10:11:38
1971154|4260121444||RV|3160058802|19년 부대 A망 시설투자 단가계약2_분결커(납기4주)|179655500|20191114|20190125|20191231|이상신|중부Infra구축팀|00004018||||1003599|20191231|공중선|1000063395|5G 분배기,(인빌딩) 5G 2N-150W(9:1)|5G 분배기,(인빌딩) 5G 2N-150W(9:1)|160|EA|61200|2020-02-03 10:11:58|DEL||2020-02-03 10:11:38
1971155|4260121444||RV|3160058802|19년 부대 A망 시설투자 단가계약2_분결커(납기4주)|179655500|20191114|20190125|20191231|이상신|중부Infra구축팀|00004018||||1003600|20191231|공중선|1000063396|5G 분배기,(인빌딩) 5G 3N-150W(1:1:1)|5G 분배기,(인빌딩) 5G 3N-150W(1:1:1)|45|EA|38800|2020-02-03 10:11:58|DEL||2020-02-03 10:11:38
1973441|4260121494||RV|3160061260|19년 부대 2차 AFE_OCM_행복나래|44340000|20191115|20190801|20191231|조원배|서부Infra구축팀|00004017||||1003809|20191231|부가장치|1000051168|LTE-OCM,OCM-LTE6(NEW)|LTE-OCM,OCM-LTE6(NEW)|30|EA|395000|2020-02-03 10:11:58|DEL||2020-02-03 10:11:38
1971822|4260121494||RV|3160061260|19년 부대 2차 AFE_OCM_행복나래|44340000|20191115|20190801|20191231|조원배|서부Infra구축팀|00004017||||1003810|20191231|부가장치|1000055235|LTE-OCM,Extended-OCM|LTE-OCM,Extended-OCM|6|PAA|242000|2020-02-03 10:11:58|DEL||2020-02-03 10:11:38
1972063|4260121494||RV|3160061260|19년 부대 2차 AFE_OCM_행복나래|44340000|20191115|20190801|20191231|조원배|서부Infra구축팀|00004017||||1003811|20191231|부가장치|1000051168|LTE-OCM,OCM-LTE6(NEW)|LTE-OCM,OCM-LTE6(NEW)|15|EA|395000|2020-02-03 10:11:58|DEL||2020-02-03 10:11:38
1973443|4260121494||RV|3160061260|19년 부대 2차 AFE_OCM_행복나래|44340000|20191115|20190801|20191231|조원배|서부Infra구축팀|00004017||||1003811|20191231|부가장치|1000051168|LTE-OCM,OCM-LTE6(NEW)|LTE-OCM,OCM-LTE6(NEW)|15|EA|395000|2020-02-03 10:11:58|DEL||2020-02-03 10:11:38
1972061|4260121494||RV|3160061260|19년 부대 2차 AFE_OCM_행복나래|44340000|20191115|20190801|20191231|조원배|서부Infra구축팀|00004017||||1003809|20191231|부가장치|1000051168|LTE-OCM,OCM-LTE6(NEW)|LTE-OCM,OCM-LTE6(NEW)|30|EA|395000|2020-02-03 10:11:58|DEL||2020-02-03 10:11:38
